acadYear,description,title,additionalInformation,department,faculty,workload,gradingBasisDescription,moduleCredit,moduleCode,semesterData,preclusion,preclusionRule,prerequisite,prerequisiteRule,attributes,fulfillRequirements,prereqTree,corequisite,corequisiteRule,prerequisiteAdvisory,aliases,common_code
2023/2024,"This module considers evidence-based techniques for
learning derived from the fundamental science and
understanding of how we learn. It reveals steps on the
path to more effective learning by using a set of simple,
pragmatic rules: rules to build motivation and to speed up
the learning process over both the short and long term.
Learners will appreciate learning rules and the scientific
evidence behind them. They will also understand why,
despite sometimes being counterintuitive, they work so
well. This understanding will lead to individualised
application of techniques to improve learning.",Learning to Learn Better,,Physiology,Yong Loo Lin Sch of Medicine,"[1, 2, 0, 4, 3]",Completed Satisfactory/Unsatisfactory,2,ALS1010,"[{'semester': 1, 'timetable': [{'classNo': '1', 'startTime': '1000', 'endTime': '1200', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'E-Learn_B', 'day': 'Tuesday', 'lessonType': 'Lecture', 'size': 450, 'covidZone': 'Unknown'}, {'classNo': '2', 'startTime': '1600', 'endTime': '1800', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': 'E-Learn_B', 'day': 'Tuesday', 'lessonType': 'Lecture', 'size': 450, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}, {'semester': 2, 'timetable': [{'classNo': '1', 'startTime': '1000', 'endTime': '1200', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': '', 'day': 'Tuesday', 'lessonType': 'Lecture', 'size': 480, 'covidZone': 'Unknown'}, {'classNo': '2', 'startTime': '1600', 'endTime': '1800', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'venue': '', 'day': 'Tuesday', 'lessonType': 'Lecture', 'size': 480, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}]",,,,,,,,,,,,ALS1010
2023/2024,"This course is designed to help graduating students prepare themselves for the working world. It deals with topics like Personal Strengths and Effective Interpersonal Relationships, Ethics and Integrity, Leadership styles and practices, understanding Management vs Leadership, etc. A distinctive element of the course is that senior practitioners from businesses and industry co-teach and mentor students through small group meetings and discussions in every class meeting.",Effective Leadership in Action,,BIZ Dean's Office,NUS Business School,"[3, 0, 0, 3, 4]",Completed Satisfactory/Unsatisfactory,2,BST3762,"[{'semester': 1, 'timetable': [{'classNo': 'A1', 'startTime': '1800', 'endTime': '2100', 'weeks': [1, 2, 3, 4, 5, 6], 'venue': 'BIZ2-0509', 'day': 'Wednesday', 'lessonType': 'Sectional Teaching', 'size': 100, 'covidZone': 'B'}], 'covidZones': ['B']}, {'semester': 2, 'timetable': [{'classNo': 'A1', 'startTime': '1800', 'endTime': '2100', 'weeks': [1, 2, 3, 4, 5, 6], 'venue': 'BIZ2-0509', 'day': 'Wednesday', 'lessonType': 'Sectional Teaching', 'size': 60, 'covidZone': 'B'}], 'covidZones': ['B']}]",,,,,,,,,,,,BST3762
2023/2024,"Career Catalyst will establish an important first touch point as part of a three/four-year roadmap to engage and prepare students in creating multiple pathways for themselves. Students will be equipped with essential skills and knowledge to make informed decisions on specialisations, develop soft skills as well as gain overseas exposure and real-world industry experience. This course consists of four lectures and two e-seminars spread across the first six weeks of the freshmen academic year, aimed to provide an early introduction to the concepts of career planning, personal branding and industry awareness. Students will learn to develop a strategy to maximise their time and resources while in University, be confident in mapping out a career plan and work towards strengthening their fit to achieve their career aspirations.",Career Catalyst,,Centre for Future-ready Grads,NUS,"[2, 0, 0, 2, 1]",Completed Satisfactory/Unsatisfactory,2,CFG1002,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 2, 'timetable': [], 'covidZones': []}]",,,,,,"['FAS2551', 'FAS2552', 'FAS2553', 'FAS3550', 'FAS2551A', 'FAS2552A', 'FAS2553A', 'SP2401', 'SP2402', 'CFG2002TH', 'CFG2002MY', 'CFG2002VN', 'CFG2002SA', 'CFG2002ID', 'CFG2002KH']",,,,,,CFG1002
2023/2024,"Most courses in financial management and investing today focus on the fundamentals and technical knowledge of financial management and investing. Few, if any, go in-depth into the psychology of money and investing to help learners regulate emotions and build financial-emotional resilience. This course, structured around six main topics, aims to equip students with foundational knowledge of core principles of financial management, investing psychology and investing fundamentals via a blended learning approach which comprised an eLearning component and live components (fire-side chat / Q&A Panel).",Financial Wellbeing - Art and Science of Investing,,Centre for Future-ready Grads,NUS,"[1, 0, 0, 3, 1]",Completed Satisfactory/Unsatisfactory,2,CFG1004,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 2, 'timetable': [], 'covidZones': []}]",,,,,"{'mpes1': True, 'mpes2': True}",,,If undertaking an Undergraduate Degree THEN must be enrolled in CFG1003,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CFG1003,,,CFG1004
2023/2024,"This course is designed to provide Y2, penultimate and final-year female students with the awareness of biases, stereotypes and how it impacts women in the workplace. The course will help students develop their skills around “Breaking the Bias” to ensure they are equipped with the knowledge and skills to succeed in the workplace. It combines physical and virtual workshops where the students will have an opportunity to put their new skills into practice. This course will use a combination of self-directed learning, a group project using principles of human-centred design and mentoring by senior female leaders",Women's Professional Development,,Centre for Future-ready Grads,NUS,"[1, 0, 0, 3, 1]",Completed Satisfactory/Unsatisfactory,2,CFG1500,"[{'semester': 1, 'timetable': [{'classNo': '01', 'startTime': '1800', 'endTime': '2100', 'weeks': [2, 3, 4, 5, 6, 10], 'venue': '', 'day': 'Wednesday', 'lessonType': 'Lecture', 'size': 50, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}, {'semester': 2, 'timetable': [{'classNo': '01', 'startTime': '1800', 'endTime': '2100', 'weeks': [2, 3, 4, 5, 6, 8, 9, 10], 'venue': '', 'day': 'Wednesday', 'lessonType': 'Lecture', 'size': 50, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}]",,,,,"{'mpes1': True, 'mpes2': True}",,,,,,,CFG1500
2023/2024,"CommsLab Public Speaking Course aims to impart public speaking skills training to science students to improve their oral communication skills through a flipped classroom modality, a type of blended learning approach where students will learn essential frameworks required to craft and deliver a pitch through e-learning, apply the learning during in-person practice sessions, and enhance the skills through peer learning and expert feedback. Specifically, students will learn storytelling and persuasive communication techniques to craft a pitch, learn verbal and non-verbal communication skills for effective pitch delivery, practice delivering the pitch in class and receive feedback from their instructor and peers.",CommsLab Public Speaking,,Centre for Future-ready Grads,NUS,"[1, 0, 0, 5, 4]",Completed Satisfactory/Unsatisfactory,2,CFG1600,"[{'semester': 1, 'timetable': [{'classNo': '2', 'startTime': '1800', 'endTime': '2030', 'weeks': [9, 11], 'venue': '', 'day': 'Thursday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}, {'classNo': '1', 'startTime': '1800', 'endTime': '2030', 'weeks': [13], 'venue': '', 'day': 'Tuesday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}, {'classNo': '1', 'startTime': '1800', 'endTime': '2030', 'weeks': [9, 11], 'venue': '', 'day': 'Monday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}, {'classNo': '2', 'startTime': '1800', 'endTime': '2030', 'weeks': [13], 'venue': '', 'day': 'Friday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}, {'semester': 2, 'timetable': [{'classNo': '3', 'startTime': '1830', 'endTime': '2030', 'weeks': [9, 11, 13], 'venue': '', 'day': 'Tuesday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}, {'classNo': '1', 'startTime': '1830', 'endTime': '2030', 'weeks': [2, 4, 6], 'venue': '', 'day': 'Tuesday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}, {'classNo': '4', 'startTime': '1830', 'endTime': '2030', 'weeks': [9, 11, 13], 'venue': '', 'day': 'Thursday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}, {'classNo': '2', 'startTime': '1830', 'endTime': '2030', 'weeks': [2, 4, 6], 'venue': '', 'day': 'Thursday', 'lessonType': 'Seminar-Style Module Class', 'size': 26, 'covidZone': 'Unknown'}], 'covidZones': ['Unknown']}]",,,,,,,,,,,,CFG1600
2023/2024,"This course is conducted over two weeks of intensive study in December, both in Singapore and an emerging economy. Through company visits, seminars, networking sessions and various assessments, students will learn what emerging economies are, the importance of overseas internship experience, and foreign workplace knowledge and skills. They will appreciate the interconnectivity between the industry landscape of Singapore and that of an emerging economy. They will also acquire the first-hand experience of learning about the unique characteristics of the different types of firms, and the latest trends in the industries that are complementary to the various undergraduate majors.",Global Industry Insights,,Centre for Future-ready Grads,NUS,"[0, 0, 0, 6.5, 3.5]",Completed Satisfactory/Unsatisfactory,2,CFG2002I,"[{'semester': 1, 'timetable': [], 'covidZones': []}]",,,,,,,,,,,,CFG2002
2023/2024,"To excel in any commercial role, it is essential to have an integrated understanding of how an organisation works, and how to make critical business decisions, on both a theoretical and practical level. In this course, students will gain experience in making critical business decisions backed by comprehensive business insight, by taking part in a real-time business simulation to run a commercial enterprise in a complex competitive environment.  This course provides an opportunity for students who are not from NUS Business school, to gain a foundational level of knowledge and skills in decision-making in business, where students will learn and apply foundational business management strategies and will also acquire critical skills for interpersonal success, including team development, leadership and principled negotiation.",Introduction to Decision-Making in Business,,Centre for Future-ready Grads,NUS,"[2, 0, 0, 4, 4]",Completed Satisfactory/Unsatisfactory,4,CFG2100,"[{'semester': 2, 'timetable': [{'classNo': '01', 'startTime': '1500', 'endTime': '1800', 'weeks': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'venue': 'TP-SR9', 'day': 'Monday', 'lessonType': 'Lecture', 'size': 32, 'covidZone': 'B'}], 'covidZones': ['B']}]",If undertaking an Undergraduate Degree THEN must not have completed MKT1705X at a grade of at least D,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES MKT1705X:D,,,"{'mpes1': True, 'mpes2': True}",,,,,BIZ students will be precluded from taking CFG2100.,,CFG2100
2023/2024,"This blended learning course aims to equip penultimate year and graduating students with (1) advanced career preparation skills to increase their career opportunities; and (2) essential workplace success skills to excel in their first graduate job. This course integrates an elearning component and live components (face-to-face workshops or webinars) and is structured around five topics. Through this course, students would be better prepared to create their personal branding to strategically position themselves for job applications, gain new career opportunities and expand their network and, more importantly, to succeed at their future careers.",Career Advancement,,Centre for Future-ready Grads,NUS,"[0, 2, 0, 6, 5]",Completed Satisfactory/Unsatisfactory,2,CFG3001,"[{'semester': 1, 'timetable': [], 'covidZones': []}, {'semester': 2, 'timetable': [], 'covidZones': []}]",,,If undertaking an Undergraduate Degree THEN must be Year 3 or 4,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN SPECIAL MUST_BE_IN ""ACAD_LEVEL=3-4""","{'mpes1': True, 'mpes2': True}",,,,,,,CFG3001
2023/2024,"This Practicum course allows CTPCLC Certificate or Minor students to conduct a modest 4-unit field research that will enable them to develop a deeper understanding of the community they have identified as a site for their study. Students may opt to partner with a specific organization to conduct the field research under the guidance of a CTPCLC academic staff, and in the process of this 3-way partnership, help to address the organization’s challenges and/or knowledge gaps. As an alternative, in studies where an organizational partner is not easily available, students may also opt, in consultation with a CTPCLC academic staff, to conduct research on a significant social issue that can fulfil the learning outcomes of the practicum course. These outcomes include understanding how to conduct scholarly research ethically and responsibly (e.g., through the deployment of quantitative and/or qualitative research methods), engagement with scholarly literature, performing critical analysis, and drawing conclusions and articulating potential recommendations.",Community Development Practicum I,,Chua Thian Poh Comm Leader Center,NUS,"[0, 0, 0, 16, 2]",Completed Satisfactory/Unsatisfactory,4,CLC2201,"[{'semester': 1, 'timetable': [], 'covidZones': []}]",,,If undertaking an Undergraduate Degree THEN ( must have completed 1 of CLC1101/CLC2101 at a grade of at least D),"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CLC1101:D, CLC2101:D)",{'su': True},['CLC3305'],"{'or': ['CLC1101:D', 'CLC2101:D']}",,,"Certificate students are strongly encouraged to access a course on research methods formally or informally to equip themselves for the practicum. Relevant methods courses include: CLC2202 Research Methods for Community Development, SC2101 Methods of Social Research, or SW3101 Social Work Research Methods.",,CLC2201
