moduleCode,title,acadYear,description,department,faculty,workload,moduleCredit,preclusion,preclusionRule,prerequisite,prerequisiteRule,corequisite,corequisiteRule,prerequisiteAdvisory
YLN1201,Beginning Singapore Sign Language,2023/2024,"Level One aims to develop capabilities in non-verbal, visual-gestural communication as well as the study of gestures as a form of communication and visual language basics. Theme based and including activities in expressive and receptive skills, the course focuses on training learners in basic functions such as greetings and introductions. It also emphasises the systematic study of the SgSL vocabulary and structure.",Yale-NUS College,Yale-NUS College,"[0, 2, 0, 0, 4.25]",2.5,,,,,,,
PF4213,Building Energy Analysis and Simulation,2023/2024,"This module discusses the main concepts and applications of building energy simulation. The main focus of the module is on design decision support using simulation tools to evaluate the impact of different passive designs and active systems. We will also review various key performance indicators, such as peak loads, energy consumption, thermal, and visual comfort. Students will also learn about the energy modelling methodology for Green Mark.",Built Environment,College of Design and Engineering,"[2, 1, 0, 0, 7]",4,,,,,,,
CFG3001,Career Advancement,2023/2024,"This blended learning course aims to equip penultimate year and graduating students with (1) advanced career preparation skills to increase their career opportunities; and (2) essential workplace success skills to excel in their first graduate job. This course integrates an elearning component and live components (face-to-face workshops or webinars) and is structured around five topics. Through this course, students would be better prepared to create their personal branding to strategically position themselves for job applications, gain new career opportunities and expand their network and, more importantly, to succeed at their future careers.",Centre for Future-ready Grads,NUS,"[0, 2, 0, 6, 5]",2,,,If undertaking an Undergraduate Degree THEN must be Year 3 or 4,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN SPECIAL MUST_BE_IN ""ACAD_LEVEL=3-4""",,,
CFG1002,Career Catalyst,2023/2024,"Career Catalyst will establish an important first touch point as part of a three/four-year roadmap to engage and prepare students in creating multiple pathways for themselves. Students will be equipped with essential skills and knowledge to make informed decisions on specialisations, develop soft skills as well as gain overseas exposure and real-world industry experience. This course consists of four lectures and two e-seminars spread across the first six weeks of the freshmen academic year, aimed to provide an early introduction to the concepts of career planning, personal branding and industry awareness. Students will learn to develop a strategy to maximise their time and resources while in University, be confident in mapping out a career plan and work towards strengthening their fit to achieve their career aspirations.",Centre for Future-ready Grads,NUS,"[2, 0, 0, 2, 1]",2,,,,,,,
CFG1600,CommsLab Public Speaking,2023/2024,"CommsLab Public Speaking Course aims to impart public speaking skills training to science students to improve their oral communication skills through a flipped classroom modality, a type of blended learning approach where students will learn essential frameworks required to craft and deliver a pitch through e-learning, apply the learning during in-person practice sessions, and enhance the skills through peer learning and expert feedback. Specifically, students will learn storytelling and persuasive communication techniques to craft a pitch, learn verbal and non-verbal communication skills for effective pitch delivery, practice delivering the pitch in class and receive feedback from their instructor and peers.",Centre for Future-ready Grads,NUS,"[1, 0, 0, 5, 4]",2,,,,,,,
MUA1107,Conservatory Orchestra,2023/2024,"Provides large ensemble collaborative music making rehearsal and performance experience, exposing students to music of the 17th through 21st centuries. Each season, the Orchestral Institute performs a cross-section of the standard orchestral repertoire - supplemented by new works and lesser-known compositions - presented in creatively curated productions, utilising innovative pedagogical approaches. Seating assignments are rotated as much as possible.",YSTCM Dean's Office,YST Conservatory of Music,"[3, 0, 0, 0, 2]",2,,,,,,,
MUA1108,Conservatory Orchestra,2023/2024,"Provides large ensemble collaborative music making rehearsal and performance experience, exposing students to music of the 17th through 21st centuries. Each season, the Orchestral Institute performs a cross-section of the standard orchestral repertoire - supplemented by new works and lesser-known compositions - presented in creatively curated productions, utilising innovative pedagogical approaches. Seating assignments are rotated as much as possible.",YSTCM Dean's Office,YST Conservatory of Music,"[3, 0, 0, 0, 2]",2,,,If undertaking an Undergraduate Degree THEN must have completed MUA1107 at a grade of at least CS,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) MUA1107:CS,,,
PLS8001,Cultivating Collaboration,2023/2024,"This course is part of the Roots & Wings 2.0 programme. It focuses on soft skills on the interpersonal level in terms of more effective working with other people and reaching for better outcomes jointly. Through various experiential activities (e.g., role-play, negotiation exercises), students learn to understand the importance of collaboration in various settings and to apply basic techniques to help resolve conflicts and to strive for win-win situations when collaborating with other people in task accomplishment.",Psychology,Arts and Social Science,"[0, 0, 0, 12, 3]",1,,,,,,,
PLS8003,Cultivating Resilience,2023/2024,"This course is part of the Roots & Wings 2.0 programme. This course focuses on helping students recognize potential self-defeating beliefs and biases, and to overcome those beliefs. Students will engage in experiential activities that foster positive emotions, engagement with the work they do and the people they interact with, and a positive narrative of their lives. The general aim of this course is to increase students’ awareness of self-limiting beliefs and to equip them with mindsets/behaviors that build psychological resilience.",Psychology,Arts and Social Science,"[0, 0, 0, 12, 3]",1,,,,,,,
PLS8002A,Cultivating the Self,2023/2024,"This course is designed to help students achieve better self-awareness through the understanding of basic psychological concepts such as self-esteem, social comparison, self-perception and self-handicapping. Students learn about how they acquire knowledge about themselves, how low self-esteem came about, and what psychologists learned about happiness. The course consists of two lectures and two tutorials. After each lecture, students will meet in small groups to share their own experience in relation to the concepts covered during lecture. By responding to a set of questionnaires, students will also have the opportunity during small group discussion to achieve a better understanding of themselves.",Psychology,Arts and Social Science,"[4, 4, 0, 3, 3]",1,If undertaking an Undergraduate Degree THEN ( must not have completed 1 of PLS8002/PLS8002B at a grade of at least CS),"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) PLS8002:CS, PLS8002B:CS)",,,,,
